"Modnames","K","AICc","Delta_AICc","ModelLik","AICcWt","LL","Cum.Wt","Model","psi(Int)_psi","psi(vertical_cover)_psi","psi(slope)_psi","psi(as.factor(biotic_com_2)2)_psi","psi(X50cm_turbine_vis)_psi","psi(canopy_cov)_psi","psi(X50cm_turbine_vis:as.factor(biotic_com_2)2)_psi","psi(X50cm_turbine_vis:canopy_cov)_psi","p(Int)_det","p(detection_angle)_det","p(as.factor(precip.cat)1)_det","LRT_stat","LRT_df","LRT_p","Evidence_Ratio_vs_NonWind"
"Vertical cover + slope",6,610.974155752535,0,1,0.289722621509317,-299.04497261311,0.289722621509317,"Vertical cover + slope","-0.49 [-1.00, 0.01]","0.50 [-0.02, 1.02]","-1.76 [-2.73, -0.80]",NA,NA,NA,NA,NA,"-3.61 [-3.92, -3.29]","-0.42 [-0.63, -0.21]","0.68 [0.32, 1.05]",NA,NA,NA,NA
"Slope",5,611.391966952684,0.417811200148549,0.811471834908816,0.235101747290758,-300.383483476342,0.524824368800075,"Slope","-0.51 [-0.99, -0.03]",NA,"-1.64 [-2.50, -0.77]",NA,NA,NA,NA,NA,"-3.59 [-3.90, -3.28]","-0.42 [-0.63, -0.21]","0.68 [0.31, 1.05]",NA,NA,NA,NA
"Canopy cover + slope + vertical cover",7,612.736743516527,1.76258776399141,0.414246578590721,0.120016604700569,-298.772627077412,0.644840973500643,"Canopy cover + slope + vertical cover","-0.52 [-1.03, -0.01]","0.45 [-0.05, 0.95]","-1.85 [-2.83, -0.86]",NA,NA,"0.22 [-0.22, 0.67]",NA,NA,"-3.60 [-3.92, -3.29]","-0.42 [-0.63, -0.22]","0.68 [0.31, 1.05]",NA,NA,NA,NA
"Biotic community + slope + vertical cover",7,612.745141446063,1.77098569352802,0.412510818549765,0.119513715751192,-298.776826042181,0.764354689251835,"Biotic community + slope + vertical cover","-0.67 [-1.28, -0.06]","0.46 [-0.04, 0.96]","-1.86 [-2.86, -0.85]","0.51 [-0.49, 1.52]",NA,NA,NA,NA,"-3.61 [-3.92, -3.29]","-0.42 [-0.63, -0.21]","0.68 [0.31, 1.05]",NA,NA,NA,NA
"Turbine visibility + slope",6,613.000714021541,2.02655826900605,0.363026612583253,0.105177021875267,-300.058251747613,0.869531711127102,"Turbine visibility + slope","-0.52 [-1.01, -0.04]",NA,"-1.75 [-2.67, -0.83]",NA,"-0.22 [-0.60, 0.17]",NA,NA,NA,"-3.59 [-3.90, -3.28]","-0.42 [-0.63, -0.21]","0.68 [0.31, 1.05]",0.650463457458272,1,0.419947030158118,0.447368099502857
"Turbine visibility + vertical cover + slope",7,613.037100074027,2.06294432149161,0.35648177560901,0.103280834549738,-298.922805356162,0.972812545676841,"Turbine visibility + vertical cover + slope","-0.50 [-1.01, 0.00]","0.47 [-0.06, 1.00]","-1.84 [-2.86, -0.82]",NA,"-0.14 [-0.54, 0.26]",NA,NA,NA,"-3.61 [-3.93, -3.29]","-0.42 [-0.63, -0.21]","0.68 [0.31, 1.05]",0.244334513894728,1,0.62109287952916,0.35648177560901
"Turbine visibility x biotic community + slope + vertical cover",9,617.199153430527,6.22499767799138,0.0444896438664718,0.0128896562510101,-298.621315845698,0.985702201927851,"Turbine visibility x biotic community + slope + vertical cover","-0.63 [-1.26, -0.01]","0.48 [-0.06, 1.02]","-1.87 [-2.90, -0.83]","-1.63 [-9.42, 6.16]","-0.07 [-0.49, 0.36]",NA,"-3.48 [-16.33, 9.38]",NA,"-3.61 [-3.93, -3.29]","-0.42 [-0.63, -0.22]","0.68 [0.31, 1.05]",0.31102039296502,2,0.855978348916168,0.107850853519141
"Turbine visibility x canopy cover + slope + vertical cover",9,617.347872267852,6.37371651531646,0.0413014257566502,0.0119659573422891,-298.695675264361,0.99766815927014,"Turbine visibility x canopy cover + slope + vertical cover","-0.64 [-1.43, 0.15]","0.45 [-0.06, 0.97]","-1.88 [-2.90, -0.85]",NA,"-0.29 [-1.45, 0.87]","0.00 [-1.10, 1.11]",NA,"-0.33 [-2.03, 1.38]","-3.61 [-3.92, -3.29]","-0.43 [-0.63, -0.22]","0.68 [0.31, 1.05]",0.153903626103329,2,0.925934470488003,0.0997025150989994
"Vertical cover",5,622.39446934167,11.420313589135,0.003312153176559,0.000959605701153084,-305.884734670835,0.998627764971293,"Vertical cover","-0.25 [-0.67, 0.17]","0.41 [0.02, 0.79]",NA,NA,NA,NA,NA,NA,"-3.59 [-3.90, -3.27]","-0.41 [-0.63, -0.20]","0.67 [0.30, 1.04]",NA,NA,NA,NA
"Null",4,622.808406749736,11.8342509972007,0.002692929892838,0.00078020270809383,-307.198017807858,0.999407967679387,"Null","-0.26 [-0.66, 0.13]",NA,NA,NA,NA,NA,NA,NA,"-3.58 [-3.89, -3.26]","-0.41 [-0.62, -0.19]","0.67 [0.30, 1.04]",NA,NA,NA,NA
